XAl,XFe,a-Al(A1),a-Fe-alpha(A2)
0.8189999999999998,0.18100000000000013,0.99995948,1.73272e-07
0.8179999999999998,0.18200000000000013,0.99995948,1.73272e-07
0.8169999999999998,0.18300000000000013,0.99995948,1.73272e-07
0.8159999999999998,0.18400000000000014,0.99995948,1.73272e-07
0.8149999999999998,0.18500000000000014,0.99995948,1.73272e-07
0.8139999999999998,0.18600000000000014,0.99995948,1.73272e-07
0.8129999999999998,0.18700000000000014,0.99995948,1.73272e-07
0.8119999999999998,0.18800000000000014,0.99995948,1.73272e-07
0.8109999999999998,0.18900000000000014,0.99995948,1.73272e-07
0.8099999999999998,0.19000000000000014,0.99995948,1.73272e-07
0.8089999999999998,0.19100000000000014,0.99995948,1.73272e-07
0.8079999999999998,0.19200000000000014,0.99995948,1.73272e-07
0.8069999999999998,0.19300000000000014,0.99995948,1.73272e-07
0.8059999999999998,0.19400000000000014,0.99995948,1.73272e-07
0.8049999999999998,0.19500000000000015,0.99995948,1.73272e-07
0.8039999999999998,0.19600000000000015,0.99995948,1.73272e-07
0.8029999999999998,0.19700000000000015,0.99995948,1.73272e-07
0.8019999999999998,0.19800000000000015,0.99995948,1.73272e-07
0.8009999999999998,0.19900000000000015,0.99995948,1.73272e-07
0.7999999999999998,0.20000000000000015,0.99995948,1.73272e-07
0.7989999999999998,0.20100000000000015,0.99995948,1.73272e-07
0.7979999999999998,0.20200000000000015,0.99995948,1.73272e-07
0.7969999999999998,0.20300000000000015,0.99995948,1.73272e-07
0.7959999999999998,0.20400000000000015,0.99995948,1.73272e-07
0.7949999999999998,0.20500000000000015,0.99995948,1.73272e-07
0.7939999999999998,0.20600000000000016,0.99995948,1.73272e-07
0.7929999999999998,0.20700000000000016,0.99995948,1.73272e-07
0.7919999999999998,0.20800000000000016,0.99995948,1.73272e-07
0.7909999999999998,0.20900000000000016,0.99995948,1.73272e-07
0.7899999999999998,0.21000000000000016,0.99995948,1.73272e-07
0.7889999999999998,0.21100000000000016,0.99995948,1.73272e-07
0.7879999999999998,0.21200000000000016,0.99995948,1.73272e-07
0.7869999999999998,0.21300000000000016,0.99995948,1.73272e-07
0.7859999999999998,0.21400000000000016,0.99995948,1.73272e-07
0.7849999999999998,0.21500000000000016,0.99995948,1.73272e-07
0.7839999999999998,0.21600000000000016,0.99995948,1.73272e-07
0.7829999999999998,0.21700000000000016,0.99995948,1.73272e-07
0.7819999999999998,0.21800000000000017,0.99995948,1.73272e-07
0.7809999999999998,0.21900000000000017,0.99995948,1.73272e-07
0.7799999999999998,0.22000000000000017,0.99995948,1.73272e-07
0.7789999999999998,0.22100000000000017,0.99995948,1.73272e-07
0.7779999999999998,0.22200000000000017,0.99995948,1.73272e-07
0.7769999999999998,0.22300000000000017,0.99995948,1.73272e-07
0.7759999999999998,0.22400000000000017,0.99995948,1.73272e-07
0.7749999999999998,0.22500000000000017,0.99995948,1.73272e-07
0.7739999999999998,0.22600000000000017,0.99995948,1.73272e-07
0.7729999999999998,0.22700000000000017,0.99995948,1.73272e-07
0.7719999999999998,0.22800000000000017,0.99995948,1.73272e-07
0.7709999999999998,0.22900000000000018,0.99995948,1.73272e-07
0.7699999999999998,0.23000000000000018,0.99995948,1.73272e-07
0.7689999999999998,0.23100000000000018,0.99995948,1.73272e-07
0.7679999999999998,0.23200000000000018,0.99995948,1.73272e-07
0.7669999999999998,0.23300000000000018,0.99995948,1.73272e-07
0.7659999999999998,0.23400000000000018,0.99995948,1.73272e-07
0.7649999999999998,0.23500000000000018,0.99995948,1.73272e-07
0.7639999999999998,0.23600000000000018,0.99995948,1.73272e-07
0.7629999999999998,0.23700000000000018,0.99995948,1.73272e-07
0.7619999999999998,0.23800000000000018,0.71777474,5.02017e-07
0.7609999999999998,0.23900000000000018,0.50899791,1.50449e-06
0.7599999999999998,0.24000000000000019,0.38895123,3.53487e-06
0.7589999999999998,0.2410000000000002,0.31098277,7.16514e-06
0.7579999999999998,0.2420000000000002,0.25626806,1.31583e-05
0.7569999999999998,0.2430000000000002,0.21575412,2.25248e-05
0.7559999999999998,0.2440000000000002,0.18454743,3.6599e-05
0.7549999999999998,0.2450000000000002,0.15977121,5.71396e-05
0.7539999999999998,0.2460000000000002,0.15821129,5.88933e-05
0.7529999999999998,0.2470000000000002,0.15821129,5.88933e-05
0.7519999999999998,0.2480000000000002,0.15821129,5.88933e-05
0.7509999999999998,0.2490000000000002,0.15821129,5.88933e-05
0.7499999999999998,0.25000000000000017,0.15821129,5.88933e-05
0.7489999999999998,0.25100000000000017,0.15821129,5.88933e-05
0.7479999999999998,0.25200000000000017,0.15821129,5.88933e-05
0.7469999999999998,0.25300000000000017,0.15821129,5.88933e-05
0.7459999999999998,0.25400000000000017,0.15821129,5.88933e-05
0.7449999999999998,0.25500000000000017,0.15821129,5.88933e-05
0.7439999999999998,0.25600000000000017,0.15821129,5.88933e-05
0.7429999999999998,0.2570000000000002,0.15821129,5.88933e-05
0.7419999999999998,0.2580000000000002,0.15821129,5.88933e-05
