xFe;aFe;xAl;aAl
0.528;0.032018637;0.472;0.027327193
0.529;0.032506801;0.471;0.026901722
0.53;0.03300143;0.47;0.026484449
0.531;0.033502525;0.469;0.026075232
0.532;0.034010085;0.468;0.02567393
0.533;0.03452411;0.467;0.025280405
0.534;0.035044601;0.466;0.024894516
0.535;0.035571558;0.465;0.024516129
0.536;0.036104979;0.464;0.024145107
0.537;0.036644866;0.463;0.023781315
0.538;0.037191219;0.462;0.023424621
0.539;0.037744037;0.461;0.023074894
0.54;0.03830332;0.46;0.022732002
0.541;0.038869069;0.459;0.022395817
0.542;0.039441283;0.458;0.022066211
0.543;0.040019962;0.457;0.021743058
0.544;0.040605107;0.456;0.021426232
0.545;0.041196718;0.455;0.02111561
0.546;0.041794793;0.454;0.02081107
0.547;0.042399334;0.453;0.020512489
0.548;0.043010341;0.452;0.02021975
0.549;0.043627813;0.451;0.019932732
0.55;0.04425175;0.45;0.019651319
0.551;0.044882153;0.449;0.019375394
0.552;0.045519021;0.448;0.019104844
0.553;0.046162354;0.447;0.018839555
0.554;0.046812153;0.446;0.018579416
0.555;0.047468418;0.445;0.018324314
0.556;0.048131147;0.444;0.018074142
0.557;0.048800342;0.443;0.017828791
0.558;0.049476003;0.442;0.017588154
0.559;0.050158129;0.441;0.017352127
0.56;0.05084672;0.44;0.017120604
0.561;0.051541777;0.439;0.016893484
0.562;0.052243299;0.438;0.016670665
0.563;0.052951286;0.437;0.016452047
0.564;0.053665739;0.436;0.01623753
0.565;0.054386658;0.435;0.016027018
0.566;0.055114041;0.434;0.015820415
0.567;0.05584789;0.433;0.015617625
0.568;0.056588205;0.432;0.015418555
0.569;0.057334985;0.431;0.015223113
0.57;0.05808823;0.43;0.015031208
0.571;0.058847941;0.429;0.01484275
0.572;0.059614117;0.428;0.014657651
0.573;0.060386758;0.427;0.014475824
0.574;0.061165865;0.426;0.014297183
0.575;0.061951437;0.425;0.014121645
0.576;0.062743475;0.424;0.013949126
0.577;0.063541978;0.423;0.013779543
0.578;0.064346947;0.422;0.013612818
0.579;0.065158381;0.421;0.013448871
0.58;0.06597628;0.42;0.013287624
0.581;0.066800645;0.419;0.013129001
0.582;0.067631475;0.418;0.012972926
0.583;0.06846877;0.417;0.012819326
0.584;0.069312531;0.416;0.012668128
0.585;0.070162757;0.415;0.012519261
0.586;0.071019449;0.414;0.012372656
0.587;0.071882606;0.413;0.012228243
0.588;0.072752229;0.412;0.012085955
0.589;0.073628317;0.411;0.011945727
0.59;0.07451087;0.41;0.011807493
0.591;0.075399889;0.409;0.011671191
0.592;0.076295373;0.408;0.011536759
0.593;0.077197322;0.407;0.011404136
0.594;0.078105737;0.406;0.011273262
0.595;0.079020618;0.405;0.011144079
0.596;0.079941963;0.404;0.011016532
0.597;0.080869774;0.403;0.010890563
0.598;0.081804051;0.402;0.01076612
0.599;0.082744793;0.401;0.01064315
0.60;0.083692;0.40;0.0105216
0.601;0.084645673;0.399;0.010401421
0.602;0.085605811;0.398;0.010282564
0.603;0.086572414;0.397;0.010164982
0.604;0.087545483;0.396;0.010048628
0.605;0.088525018;0.395;0.009933457
0.606;0.089511017;0.394;0.009819426
0.607;0.090503482;0.393;0.009706493
0.608;0.091502413;0.392;0.009594616
0.609;0.092507809;0.391;0.009483756
0.61;0.09351967;0.39;0.009373874
0.611;0.094537997;0.389;0.009264934
0.612;0.095562789;0.388;0.0091569
0.613;0.096594046;0.387;0.009049738
0.614;0.097631769;0.386;0.008943414
0.615;0.098675958;0.385;0.008837896
0.616;0.099726611;0.384;0.008733155
0.617;0.10078373;0.383;0.008629161
0.618;0.101847315;0.382;0.008525887
0.619;0.102917365;0.381;0.008423305
0.62;0.10399388;0.38;0.008321391
0.621;0.105076861;0.379;0.00822012
0.622;0.106166307;0.378;0.008119471
0.623;0.107262218;0.377;0.008019422
0.624;0.108364595;0.376;0.007919953
0.625;0.109473438;0.375;0.007821045
0.626;0.110588745;0.374;0.007722681
0.627;0.111710518;0.373;0.007624846
0.628;0.112838757;0.372;0.007527524
0.629;0.113973461;0.371;0.007430703
0.63;0.11511463;0.37;0.007334369
0.631;0.116262265;0.369;0.007238513
0.632;0.117416365;0.368;0.007143125
0.633;0.11857693;0.367;0.007048197
0.634;0.119743961;0.366;0.006953722
0.635;0.120917458;0.365;0.006859695
0.636;0.122097419;0.364;0.006766111
0.637;0.123283846;0.363;0.006672969
0.638;0.124476739;0.362;0.006580265
0.639;0.125676097;0.361;0.006488
0.64;0.12688192;0.36;0.006396175
0.641;0.128094209;0.359;0.006304793
0.642;0.129312963;0.358;0.006213857
0.643;0.130538182;0.357;0.006123373
0.644;0.131769867;0.356;0.006033346
0.645;0.133008018;0.355;0.005943785
0.646;0.134252633;0.354;0.005854697
0.647;0.135503714;0.353;0.005766095
0.648;0.136761261;0.352;0.005677989
0.649;0.138025273;0.351;0.005590392
0.65;0.13929575;0.35;0.005503319
0.651;0.140572693;0.349;0.005416784
0.652;0.141856101;0.348;0.005330806
0.653;0.143145974;0.347;0.005245402
0.654;0.144442313;0.346;0.005160592
0.655;0.145745118;0.345;0.005076396
0.656;0.147054387;0.344;0.004992836
0.657;0.148370122;0.343;0.004909937
0.658;0.149692323;0.342;0.004827723
0.659;0.151020989;0.341;0.00474622
0.66;0.15235612;0.34;0.004665455
0.661;0.153697717;0.339;0.004585457
0.662;0.155045779;0.338;0.004506256
0.663;0.156400306;0.337;0.004427884
0.664;0.157761299;0.336;0.004350372
0.665;0.159128758;0.335;0.004273756
0.666;0.160502681;0.334;0.00419807
0.667;0.16188307;0.333;0.004123352
0.668;0.163269925;0.332;0.004049638
0.669;0.164663245;0.331;0.003976968
0.67;0.16606303;0.33;0.003905383
0.671;0.16855616;0.329;0.003834924
