;;900°C;;650°C;
XAl;XFe;Fe;Al;Fe;Al
0.66;0.34;0.053000;0.121682;0.027617;0.032516
0.659;0.341;0.053000;0.121682;0.027617;0.032516
0.658;0.342;0.053000;0.121682;0.027617;0.032516
0.657;0.343;0.053000;0.121682;0.027617;0.032516
0.656;0.344;0.053000;0.121682;0.027617;0.032516
0.655;0.345;0.053000;0.121682;0.027617;0.032516
0.654;0.346;0.053000;0.121682;0.027617;0.032516
0.653;0.347;0.053000;0.121682;0.027617;0.032516
0.652;0.348;0.053000;0.121682;0.027617;0.032516
0.651;0.349;0.053000;0.121682;0.027617;0.032516
0.65;0.35;0.053000;0.121682;0.027617;0.032516
0.649;0.351;0.053000;0.121682;0.027617;0.032516
0.648;0.352;0.053000;0.121682;0.027617;0.032516
0.647;0.353;0.053000;0.121682;0.027617;0.032516
0.646;0.354;0.053000;0.121682;0.027617;0.032516
0.645;0.355;0.053000;0.121682;0.027617;0.032516
0.644;0.356;0.053000;0.121682;0.027617;0.032516
0.643;0.357;0.053000;0.121682;0.027617;0.032516
0.642;0.358;0.053000;0.121682;0.027617;0.032516
0.641;0.359;0.053000;0.121682;0.027617;0.032516
0.64;0.36;0.053000;0.121682;0.027617;0.032516
0.639;0.361;0.053000;0.121682;0.027617;0.032516
0.638;0.362;0.053000;0.121682;0.027617;0.032516
0.637;0.363;0.053000;0.121682;0.027617;0.032516
0.636;0.364;0.053000;0.121682;0.027617;0.032516
0.635;0.365;0.053000;0.121682;0.027617;0.032516
0.634;0.366;0.053000;0.121682;0.027617;0.032516
0.633;0.367;0.053000;0.121682;0.027617;0.032516
0.632;0.368;0.053000;0.121682;0.027617;0.032516
0.631;0.369;0.053000;0.121682;0.027617;0.032516
0.63;0.37;0.053000;0.121682;0.027617;0.032516
0.629;0.371;0.053000;0.121682;0.027617;0.032516
0.628;0.372;0.053000;0.121682;0.027617;0.032516
0.627;0.373;0.053000;0.121682;0.027617;0.032516
0.626;0.374;0.053000;0.121682;0.027617;0.032516
0.625;0.375;0.053000;0.121682;0.027617;0.032516
0.624;0.376;0.053000;0.121682;0.027617;0.032516
0.623;0.377;0.053000;0.121682;0.027617;0.032516
0.622;0.378;0.053000;0.121682;0.027617;0.032516
0.621;0.379;0.053000;0.121682;0.027617;0.032516
0.62;0.38;0.053000;0.121682;0.027617;0.032516
0.619;0.381;0.053000;0.121682;0.027617;0.032516
0.618;0.382;0.053000;0.121682;0.027617;0.032516
0.617;0.383;0.053000;0.121682;0.027617;0.032516
0.616;0.384;0.053000;0.121682;0.027617;0.032516
0.615;0.385;0.053000;0.121682;0.027617;0.032516
0.614;0.386;0.053000;0.121682;0.027617;0.032516
0.613;0.387;0.053000;0.121682;0.027617;0.032516
0.612;0.388;0.053000;0.121682;0.027617;0.032516
0.611;0.389;0.053000;0.121682;0.027617;0.032516
0.61;0.39;0.053000;0.121682;0.027617;0.032516
0.609;0.391;0.053000;0.121682;0.027617;0.032516
0.608;0.392;0.053000;0.121682;0.027617;0.032516
0.607;0.393;0.053000;0.121682;0.027617;0.032516
0.606;0.394;0.053000;0.121682;0.027617;0.032516
0.605;0.395;0.053000;0.121682;0.027617;0.032516
0.604;0.396;0.053000;0.121682;0.027617;0.032516
0.603;0.397;0.053000;0.121682;0.027617;0.032516
0.602;0.398;0.053000;0.121682;0.027617;0.032516
0.601;0.399;0.053000;0.121682;0.027617;0.032516
0.6;0.4;0.053000;0.121682;0.027617;0.032516
0.599;0.401;0.053000;0.121682;0.027617;0.032516
0.598;0.402;0.053000;0.121682;0.027617;0.032516
0.597;0.403;0.053000;0.121682;0.027617;0.032516
0.596;0.404;0.053000;0.121682;0.027617;0.032516
0.595;0.405;0.053000;0.121682;0.027617;0.032516
0.594;0.406;0.053000;0.121682;0.027617;0.032516
0.593;0.407;0.053000;0.121682;0.027617;0.032516
0.592;0.408;0.053000;0.121682;0.027617;0.032516
0.591;0.409;0.053000;0.121682;0.027617;0.032516
0.59;0.41;0.053000;0.121682;0.027617;0.032516
0.589;0.411;0.053000;0.121682;0.027617;0.032516
0.588;0.412;0.053000;0.121682;0.027617;0.032516
0.587;0.413;0.053000;0.121682;0.027617;0.032516
0.586;0.414;0.053000;0.121682;0.027617;0.032516
0.585;0.415;0.053000;0.121682;0.027617;0.032516
0.584;0.416;0.053000;0.121682;0.027617;0.032516
0.583;0.417;0.053000;0.121682;0.027617;0.032516
0.582;0.418;0.053000;0.121682;0.027617;0.032516
0.581;0.419;0.053000;0.121682;0.027617;0.032516
0.58;0.42;0.053000;0.121682;0.027617;0.032516
0.579;0.421;0.053000;0.121682;0.027617;0.032516
0.578;0.422;0.053000;0.121682;0.027617;0.032516
0.577;0.423;0.053000;0.121682;0.027617;0.032516
0.576;0.424;0.053000;0.121682;0.027617;0.032516
0.575;0.425;0.053000;0.121682;0.027617;0.032516
0.574;0.426;0.053000;0.121682;0.027617;0.032516
0.573;0.427;0.053000;0.121682;0.027617;0.032516
