X_Cu;X_Al;a-Al(700);a-Cu(700)
0.441;0.559;0.38014046;0.023237465
0.442;0.558;0.38014046;0.023237465
0.443;0.557;0.38014046;0.023237465
0.444;0.556;0.38014046;0.023237465
0.445;0.555;0.38014046;0.023237465
0.446;0.554;0.38014046;0.023237465
0.447;0.553;0.38014046;0.023237465
0.448;0.552;0.38014046;0.023237465
0.449;0.551;0.38014046;0.023237465
0.45;0.55;0.38014046;0.023237465
0.451;0.549;0.38014046;0.023237465
0.452;0.548;0.38014046;0.023237465
0.453;0.547;0.38014046;0.023237465
0.454;0.546;0.38014046;0.023237465
0.455;0.545;0.38014046;0.023237465
0.456;0.544;0.38014046;0.023237465
0.457;0.543;0.38014046;0.023237465
0.458;0.542;0.38014046;0.023237465
0.459;0.541;0.38014046;0.023237465
0.46;0.54;0.38014046;0.023237465
0.461;0.539;0.38014046;0.023237465
0.462;0.538;0.38014046;0.023237465
0.463;0.537;0.38014046;0.023237465
0.464;0.536;0.38014046;0.023237465
0.465;0.535;0.38014046;0.023237465
0.466;0.534;0.38014046;0.023237465
0.467;0.533;0.38014046;0.023237465
0.468;0.532;0.38014046;0.023237465
0.469;0.531;0.38014046;0.023237465
0.47;0.53;0.38014046;0.023237465
0.471;0.529;0.38014046;0.023237465
0.472;0.528;0.38014046;0.023237465
0.473;0.527;0.38014046;0.023237465
0.474;0.526;0.38014046;0.023237465
0.475;0.525;0.38014046;0.023237465
0.476;0.524;0.38014046;0.023237465
0.477;0.523;0.38014046;0.023237465
0.478;0.522;0.38014046;0.023237465
0.479;0.521;0.38014046;0.023237465
0.48;0.52;0.38014046;0.023237465
0.481;0.519;0.38014046;0.023237465
0.482;0.518;0.38014046;0.023237465
0.483;0.517;0.38014046;0.023237465
0.484;0.516;0.38014046;0.023237465
0.485;0.515;0.38014046;0.023237465
0.486;0.514;0.38014046;0.023237465
0.487;0.513;0.38014046;0.023237465
0.488;0.512;0.38014046;0.023237465
0.489;0.511;0.38014046;0.023237465
0.49;0.51;0.38014046;0.023237465
0.491;0.509;0.38014046;0.023237465
0.492;0.508;0.38014046;0.023237465
0.493;0.507;0.38014046;0.023237465
0.494;0.506;0.38014046;0.023237465
0.495;0.505;0.38014046;0.023237465
0.496;0.504;0.38014046;0.023237465
0.497;0.503;0.38014046;0.023237465
0.498;0.502;0.38014046;0.023237465
0.499;0.501;0.38014046;0.023237465
0.5;0.5;0.38014046;0.023237465
0.501;0.499;0.38014046;0.023237465
0.502;0.498;0.38014046;0.023237465
0.503;0.497;0.38014046;0.023237465
0.504;0.496;0.38014046;0.023237465
0.505;0.495;0.38014046;0.023237465
0.506;0.494;0.38014046;0.023237465
0.507;0.493;0.38014046;0.023237465
0.508;0.492;0.38014046;0.023237465
0.509;0.491;0.38014046;0.023237465
0.51;0.49;0.38014046;0.023237465
0.511;0.489;0.38014046;0.023237465
0.512;0.488;0.38014046;0.023237465
0.513;0.487;0.38014046;0.023237465
0.514;0.486;0.38014046;0.023237465
0.515;0.485;0.38014046;0.023237465
0.516;0.484;0.38014046;0.023237465
0.517;0.483;0.38014046;0.023237465
0.518;0.482;0.38014046;0.023237465
0.519;0.481;0.38014046;0.023237465
0.52;0.48;0.38014046;0.023237465
0.521;0.479;0.38014046;0.023237465
0.522;0.478;0.38014046;0.023237465
0.523;0.477;0.38014046;0.023237465
0.524;0.476;0.38014046;0.023237465
0.525;0.475;0.38014046;0.023237465
0.526;0.474;0.38014046;0.023237465
0.527;0.473;0.38014046;0.023237465
0.528;0.472;0.38014046;0.023237465
0.529;0.471;0.38014046;0.023237465
0.53;0.47;0.38014046;0.023237465
0.531;0.469;0.38014046;0.023237465
0.532;0.468;0.38014046;0.023237465
0.533;0.467;0.38014046;0.023237465
0.534;0.466;0.38014046;0.023237465
0.535;0.465;0.38014046;0.023237465
0.536;0.464;0.38014046;0.023237465
0.537;0.463;0.38014046;0.023237465
0.538;0.462;0.38014046;0.023237465
0.539;0.461;0.38014046;0.023237465
0.54;0.46;0.38014046;0.023237465
0.541;0.459;0.38014046;0.023237465
0.542;0.458;0.38014046;0.023237465
0.543;0.457;0.38014046;0.023237465
0.544;0.456;0.38014046;0.023237465
0.545;0.455;0.38014046;0.023237465
0.546;0.454;0.38014046;0.023237465
0.547;0.453;0.38014046;0.023237465
0.548;0.452;0.38014046;0.023237465
0.549;0.451;0.38014046;0.023237465
0.55;0.45;0.38014046;0.023237465
0.551;0.449;0.38014046;0.023237465
0.552;0.448;0.36855432;0.023829263
0.553;0.447;0.34805125;0.024960008
0.554;0.446;0.3286788;0.026140158
0.555;0.445;0.31037167;0.027371915
0.556;0.444;0.29306858;0.028657607
0.557;0.443;0.276712;0.029999689
0.558;0.442;0.26124796;0.031400751
0.559;0.441;0.24662584;0.032863523
0.56;0.44;0.23279815;0.034390886
0.561;0.439;0.21972032;0.035985877
0.562;0.438;0.20735054;0.037651699
0.563;0.437;0.19564956;0.039391728
0.564;0.436;0.1845805;0.041209525
0.565;0.435;0.17410872;0.043108847
0.566;0.434;0.16420165;0.045093655
0.567;0.433;0.15482867;0.047168131
0.568;0.432;0.14596095;0.049336687
0.569;0.431;0.13757137;0.051603981
0.57;0.43;0.12963435;0.053974933
0.571;0.429;0.1221258;0.056454737
0.572;0.428;0.11502302;0.059048884
0.573;0.427;0.10830455;0.061763177
0.574;0.426;0.10195015;0.064603749
0.575;0.425;0.095940732;0.067577091
0.576;0.424;0.090508317;0.070546211
0.577;0.423;0.090508317;0.070546211
0.578;0.422;0.090508317;0.070546211
0.579;0.421;0.090508317;0.070546211
0.58;0.42;0.090508317;0.070546211
0.581;0.419;0.090508317;0.070546211
0.582;0.418;0.090508317;0.070546211
0.583;0.417;0.090508317;0.070546211
0.584;0.416;0.090508317;0.070546211
0.585;0.415;0.090508317;0.070546211
0.586;0.414;0.090508317;0.070546211
0.587;0.413;0.090508317;0.070546211
0.588;0.412;0.090508317;0.070546211
0.589;0.411;0.090508317;0.070546211
0.59;0.41;0.090508317;0.070546211
0.591;0.409;0.090508317;0.070546211
0.592;0.408;0.090508317;0.070546211
0.593;0.407;0.090508317;0.070546211
0.594;0.406;0.090508317;0.070546211
0.595;0.405;0.090508317;0.070546211
0.596;0.404;0.090508317;0.070546211
0.597;0.403;0.090508317;0.070546211
0.598;0.402;0.090508317;0.070546211
0.599;0.401;0.090508317;0.070546211
0.6;0.4;0.090508317;0.070546211
0.601;0.399;0.090508317;0.070546211
0.602;0.398;0.090508317;0.070546211
0.603;0.397;0.090508317;0.070546211
0.604;0.396;0.090508317;0.070546211
0.605;0.395;0.090508317;0.070546211
0.606;0.394;0.090508317;0.070546211
0.607;0.393;0.090508317;0.070546211
0.608;0.392;0.090508317;0.070546211
0.609;0.391;0.090508317;0.070546211
0.61;0.39;0.090508317;0.070546211
0.611;0.389;0.090508317;0.070546211
0.612;0.388;0.090508317;0.070546211
0.613;0.387;0.090508317;0.070546211
0.614;0.386;0.090508317;0.070546211
0.615;0.385;0.090508317;0.070546211
0.616;0.384;0.090508317;0.070546211
0.617;0.383;0.090508317;0.070546211
0.618;0.382;0.090508317;0.070546211
0.619;0.381;0.090508317;0.070546211
0.62;0.38;0.090508317;0.070546211
0.621;0.379;0.090508317;0.070546211
0.622;0.378;0.090508317;0.070546211
0.623;0.377;0.090508317;0.070546211
0.624;0.376;0.090508317;0.070546211
0.625;0.375;0.090508317;0.070546211
0.626;0.374;0.090508317;0.070546211
0.627;0.373;0.090508317;0.070546211
0.628;0.372;0.090508317;0.070546211
0.629;0.371;0.090508317;0.070546211
0.63;0.37;0.090508317;0.070546211
0.631;0.369;0.086436935;0.072474554
0.632;0.368;0.082255578;0.07460218
0.633;0.367;0.078436555;0.076691651
0.634;0.366;0.074928812;0.078748716
0.635;0.365;0.071690743;0.080778441
0.636;0.364;0.068688062;0.082785343
0.637;0.363;0.065892228;0.084773497
0.638;0.362;0.063279267;0.086746617
0.639;0.361;0.060828875;0.088708125
0.64;0.36;0.058523725;0.090661208
0.641;0.359;0.05634893;0.092608862
0.642;0.358;0.054291616;0.094553933
0.643;0.357;0.052340588;0.096499151
0.644;0.356;0.050486052;0.098447158
0.645;0.355;0.048719402;0.10040054
0.646;0.354;0.047033034;0.10236183
0.647;0.353;0.045420205;0.10433358
0.648;0.352;0.043874906;0.10631831
0.649;0.351;0.042391762;0.10831859
0.65;0.35;0.040965948;0.11033704
0.651;0.349;0.039593115;0.11237633
0.652;0.348;0.038269329;0.11443925
0.653;0.347;0.036991022;0.11652866
0.654;0.346;0.035754945;0.1186476
0.655;0.345;0.034558129;0.12079924
0.656;0.344;0.033397856;0.12298694
0.657;0.343;0.032271627;0.12521429
0.658;0.342;0.031177135;0.12748515
0.659;0.341;0.03011225;0.12980363
0.66;0.34;0.029074991;0.13217423
0.661;0.339;0.028063517;0.1346018
0.662;0.338;0.027076103;0.13709166
0.663;0.337;0.026111135;0.13964966
0.664;0.336;0.025167089;0.14228225
0.665;0.335;0.024242527;0.14499657
0.666;0.334;0.02333608;0.14780059
0.667;0.333;0.022446443;0.15070326
0.668;0.332;0.021572362;0.15371462
0.669;0.331;0.020712624;0.15684611
0.67;0.33;0.019866052;0.16011071
0.671;0.329;0.019031491;0.16352337
0.672;0.328;0.018207802;0.16710133
0.673;0.327;0.017393849;0.17086467
0.674;0.326;0.016588486;0.17483696
0.675;0.325;0.015790549;0.17904611
0.676;0.324;0.014998836;0.18352548
0.677;0.323;0.014212088;0.18831539
0.678;0.322;0.013428973;0.19346514
0.679;0.321;0.012648049;0.1990359
0.68;0.32;0.011867732;0.20510466
0.681;0.319;0.011086246;0.21177013
0.682;0.318;0.010301553;0.2191615
0.683;0.317;0.009511256;0.22745205
0.684;0.316;0.00871246;0.23688106
0.685;0.315;0.007901549;0.24779108
0.686;0.314;0.00707384;0.26069491
0.687;0.313;0.00622298;0.27640601
0.688;0.312;0.005339825;0.29631898
0.689;0.311;0.00441012;0.32310404
0.69;0.31;0.004242674;0.32879662
0.691;0.309;0.004242674;0.32879662
0.692;0.308;0.004242674;0.32879662
0.693;0.307;0.004242674;0.32879662
