X_Cu/;X_Al;a-Al(500);a-Cu(500);a-Al(600);a-Cu(600);a-Al(700);a-Cu(700);a-Al(800);a-Cu(800)
0.137;0.863;0.98618661;0.001400578;0.94313547;0.001917173;0.85305225;0.00270231;0.85037275;0.003585974
0.138;0.862;0.98618661;0.001400578;0.94176984;0.001934678;0.85178698;0.002727588;0.84909292;0.003620014
0.139;0.861;0.98618661;0.001400578;0.94039896;0.001952288;0.85051741;0.002753013;0.84780919;0.003654244
0.14;0.86;0.98618661;0.001400578;0.93902279;0.001970004;0.84924353;0.002778585;0.84652154;0.003688666
0.141;0.859;0.98618661;0.001400578;0.93764129;0.001987827;0.84796531;0.002804306;0.84522996;0.003723283
0.142;0.858;0.98618661;0.001400578;0.93625444;0.002005759;0.84668272;0.002830179;0.84393443;0.003758096
0.143;0.857;0.98618661;0.001400578;0.93486218;0.002023801;0.84539574;0.002856205;0.84263492;0.003793107
0.144;0.856;0.98618661;0.001400578;0.9334645;0.002041955;0.84410435;0.002882386;0.84133143;0.003828319
0.145;0.855;0.98618661;0.001400578;0.93206135;0.002060222;0.84280851;0.002908723;0.84002393;0.003863733
0.146;0.854;0.98618661;0.001400578;0.93065269;0.002078604;0.84150822;0.002935218;0.8387124;0.003899351
0.147;0.853;0.98618661;0.001400578;0.9292385;0.002097101;0.84020343;0.002961874;0.83739682;0.003935176
0.148;0.852;0.98618661;0.001400578;0.92781875;0.002115716;0.83889414;0.002988691;0.83607719;0.003971211
0.149;0.851;0.98618661;0.001400578;0.92639339;0.00213445;0.83758031;0.003015673;0.83475347;0.004007456
0.15;0.85;0.98618661;0.001400578;0.92496239;0.002153304;0.83626193;0.00304282;0.83342566;0.004043914
0.151;0.849;0.98618661;0.001400578;0.92352573;0.002172281;0.83493898;0.003070134;0.83209373;0.004080587
0.152;0.848;0.98618661;0.001400578;0.92208337;0.00219138;0.83361142;0.003097618;0.83075768;0.004117478
0.153;0.847;0.98618661;0.001400578;0.92063528;0.002210604;0.83227924;0.003125273;0.82941748;0.004154589
0.154;0.846;0.98618661;0.001400578;0.91918142;0.002229955;0.83094242;0.003153101;0.82807311;0.004191921
0.155;0.845;0.98618661;0.001400578;0.91772177;0.002249434;0.82960094;0.003181105;0.82672457;0.004229478
0.156;0.844;0.98618661;0.001400578;0.9162563;0.002269043;0.82825477;0.003209285;0.82537183;0.004267261
0.157;0.843;0.98618661;0.001400578;0.91478497;0.002288782;0.8269039;0.003237644;0.82401489;0.004305273
0.158;0.842;0.98618661;0.001400578;0.91330776;0.002308655;0.82554831;0.003266184;0.82265372;0.004343515
0.159;0.841;0.98618661;0.001400578;0.91182463;0.002328661;0.82418797;0.003294908;0.82128831;0.004381991
0.16;0.84;0.98618661;0.001400578;0.91033556;0.002348804;0.82282286;0.003323816;0.81991865;0.004420703
0.161;0.839;0.98618661;0.001400578;0.90884052;0.002369084;0.82145298;0.00335291;0.81854471;0.004459652
0.162;0.838;0.98618661;0.001400578;0.90733948;0.002389503;0.82007829;0.003382194;0.8171665;0.004498842
0.163;0.837;0.98618661;0.001400578;0.90583242;0.002410063;0.81869878;0.003411669;0.81578399;0.004538275
0.164;0.836;0.98618661;0.001400578;0.9043193;0.002430765;0.81731443;0.003441337;0.81439717;0.004577952
0.165;0.835;0.98618661;0.001400578;0.9028001;0.002451612;0.81592523;0.0034712;0.81300603;0.004617877
0.166;0.834;0.98618661;0.001400578;0.90127479;0.002472605;0.81453114;0.00350126;0.81161055;0.004658052
0.167;0.833;0.98618661;0.001400578;0.89974335;0.002493745;0.81313217;0.003531519;0.81021072;0.00469848
0.168;0.832;0.98618661;0.001400578;0.89820575;0.002515034;0.81172829;0.00356198;0.80880653;0.004739162
0.169;0.831;0.98618661;0.001400578;0.89666197;0.002536475;0.81031949;0.003592645;0.80739797;0.004780102
0.17;0.83;0.98618661;0.001400578;0.89511198;0.002558068;0.80890574;0.003623515;0.80598502;0.004821301
0.171;0.829;0.98618661;0.001400578;0.89355576;0.002579816;0.80748703;0.003654593;0.80456767;0.004862763
0.172;0.828;0.98618661;0.001400578;0.89199328;0.00260172;0.80606335;0.003685881;0.80314592;0.00490449
0.173;0.827;0.98618661;0.001400578;0.89042453;0.002623782;0.80463468;0.003717381;0.80171974;0.004946484
0.174;0.826;0.98618661;0.001400578;0.88884947;0.002646005;0.80320101;0.003749096;0.80028913;0.004988748
0.175;0.825;0.98618661;0.001400578;0.88726808;0.002668389;0.80176232;0.003781028;0.79885409;0.005031285
0.176;0.824;0.98618661;0.001400578;0.88568036;0.002690936;0.8003186;0.003813179;0.79741459;0.005074098
0.177;0.823;0.98618661;0.001400578;0.88408626;0.002713649;0.79886983;0.003845551;0.79597063;0.005117188
0.178;0.822;0.98618661;0.001400578;0.88248578;0.00273653;0.797416;0.003878147;0.7945222;0.005160559
0.179;0.821;0.98618661;0.001400578;0.88087889;0.00275958;0.79595709;0.003910969;0.79306928;0.005204213
0.18;0.82;0.98618661;0.001400578;0.87926557;0.002782801;0.7944931;0.00394402;0.79161188;0.005248154
0.181;0.819;0.98618661;0.001400578;0.8776458;0.002806195;0.79302402;0.003977301;0.79014998;0.005292383
0.182;0.818;0.98618661;0.001400578;0.87601957;0.002829764;0.79154982;0.004010815;0.78868357;0.005336904
0.183;0.817;0.98618661;0.001400578;0.87438685;0.00285351;0.7900705;0.004044564;0.78721265;0.005381719
0.184;0.816;0.98618661;0.001400578;0.87274763;0.002877435;0.78858604;0.004078552;0.7857372;0.005426831
0.185;0.815;0.98618661;0.001400578;0.87110189;0.002901541;0.78709644;0.00411278;0.78425723;0.005472243
0.186;0.814;0.98618661;0.001400578;0.86944961;0.00292583;0.78560168;0.004147251;0.78277271;0.005517958
0.187;0.813;0.98618661;0.001400578;0.86779078;0.002950305;0.78410176;0.004181967;0.78128365;0.005563978
0.188;0.812;0.98618661;0.001400578;0.86612538;0.002974966;0.78259666;0.004216931;0.77979004;0.005610308
0.189;0.811;0.98618661;0.001400578;0.8644534;0.002999817;0.78108638;0.004252145;0.77829187;0.005656948
0.19;0.81;0.98618661;0.001400578;0.86277481;0.003024859;0.7795709;0.004287613;0.77678913;0.005703903
0.191;0.809;0.98618661;0.001400578;0.86108962;0.003050094;0.77805022;0.004323335;0.77528183;0.005751176
0.192;0.808;0.98618661;0.001400578;0.85939779;0.003075525;0.77652433;0.004359316;0.77376995;0.005798768
0.193;0.807;0.98618661;0.001400578;0.85769933;0.003101154;0.77499322;0.004395558;0.77225348;0.005846684
0.194;0.806;0.98618661;0.001400578;0.85599421;0.003126982;0.77345688;0.004432063;0.77073244;0.005894927
0.195;0.805;0.98618661;0.001400578;0.85428243;0.003153013;0.7719153;0.004468835;0.7692068;0.005943499
0.196;0.804;0.98618661;0.001400578;0.85256397;0.003179248;0.77036849;0.004505875;0.76767657;0.005992403
0.197;0.803;0.98618661;0.001400578;0.85083883;0.003205689;0.76881643;0.004543186;0.76614174;0.006041643
0.198;0.802;0.98618661;0.001400578;0.84910698;0.00323234;0.76725911;0.004580772;0.76460231;0.006091222
0.199;0.801;0.98618661;0.001400578;0.84736843;0.003259201;0.76569654;0.004618635;0.76305827;0.006141143
0.2;0.8;0.98618661;0.001400578;0.84562316;0.003286276;0.7641287;0.004656777;0.76150963;0.006191409
0.201;0.799;0.98618661;0.001400578;0.84387116;0.003313566;0.76255559;0.004695202;0.75995637;0.006242023
0.202;0.798;0.98618661;0.001400578;0.84211243;0.003341075;0.76097721;0.004733913;0.75839851;0.006292989
0.203;0.797;0.98618661;0.001400578;0.84034696;0.003368804;0.75939355;0.004772912;0.75683602;0.00634431
0.204;0.796;0.98618661;0.001400578;0.83857473;0.003396756;0.75780461;0.004812201;0.75526893;0.006395989
0.205;0.795;0.98618661;0.001400578;0.83679576;0.003424933;0.75621038;0.004851786;0.75369721;0.006448029
0.206;0.794;0.98618661;0.001400578;0.83501002;0.003453338;0.75461087;0.004891667;0.75212088;0.006500434
0.207;0.793;0.98618661;0.001400578;0.83321751;0.003481973;0.75300607;0.004931848;0.75053993;0.006553207
0.208;0.792;0.98618661;0.001400578;0.83141823;0.00351084;0.75139597;0.004972332;0.74895436;0.006606352
0.209;0.791;0.98618661;0.001400578;0.82961217;0.003539943;0.74978059;0.005013122;0.74736417;0.006659872
0.21;0.79;0.98618661;0.001400578;0.82779933;0.003569283;0.74815991;0.005054221;0.74576936;0.00671377
0.211;0.789;0.98618661;0.001400578;0.82597971;0.003598864;0.74653394;0.005095632;0.74416994;0.00676805
0.212;0.788;0.98618661;0.001400578;0.82415331;0.003628687;0.74490267;0.005137359;0.7425659;0.006822716
0.213;0.787;0.98618661;0.001400578;0.82232012;0.003658756;0.74326611;0.005179404;0.74095724;0.006877771
0.214;0.786;0.98618661;0.001400578;0.82048014;0.003689073;0.74162425;0.00522177;0.73934398;0.006933218
0.215;0.785;0.98618661;0.001400578;0.81863336;0.003719641;0.7399771;0.005264461;0.7377261;0.006989061
0.216;0.784;0.98618661;0.001400578;0.8167798;0.003750462;0.73832466;0.00530748;0.73610361;0.007045304
0.217;0.783;0.98618661;0.001400578;0.81491946;0.003781539;0.73666694;0.00535083;0.73447652;0.007101951
0.218;0.782;0.98618661;0.001400578;0.81305232;0.003812876;0.73500392;0.005394515;0.73284483;0.007159005
0.219;0.781;0.98618661;0.001400578;0.8111784;0.003844473;0.73333562;0.005438537;0.73120854;0.00721647
0.22;0.78;0.98618661;0.001400578;0.80929769;0.003876336;0.73166204;0.005482901;0.72956765;0.007274349
0.221;0.779;0.98618661;0.001400578;0.8074102;0.003908465;0.72998319;0.005527609;0.72792218;0.007332647
0.222;0.778;0.98618661;0.001400578;0.80551594;0.003940865;0.72829906;0.005572664;0.72627212;0.007391367
0.223;0.777;0.98618661;0.001400578;0.8036149;0.003973538;0.72660966;0.005618071;0.72461748;0.007450513
0.224;0.776;0.98618661;0.001400578;0.8017071;0.004006486;0.724915;0.005663833;0.72295826;0.007510089
0.225;0.775;0.98618661;0.001400578;0.79979253;0.004039714;0.72321509;0.005709953;0.72129448;0.007570099
0.226;0.774;0.98618661;0.001400578;0.79787121;0.004073223;0.72150992;0.005756434;0.71962613;0.007630547
0.227;0.773;0.98618661;0.001400578;0.79594313;0.004107017;0.71979951;0.005803281;0.71795323;0.007691436
0.228;0.772;0.98618661;0.001400578;0.79400832;0.004141099;0.71808386;0.005850497;0.71627578;0.007752772
0.229;0.771;0.98618661;0.001400578;0.79206677;0.004175472;0.71636297;0.005898085;0.71459379;0.007814557
0.23;0.77;0.98618661;0.001400578;0.7901185;0.004210139;0.71463687;0.005946049;0.71290726;0.007876797
0.231;0.769;0.98618661;0.001400578;0.78816351;0.004245103;0.71290555;0.005994394;0.71121621;0.007939494
0.232;0.768;0.98618661;0.001400578;0.78620181;0.004280367;0.71116903;0.006043121;0.70952063;0.008002654
0.233;0.767;0.98618661;0.001400578;0.78423342;0.004315935;0.70942731;0.006092236;0.70782055;0.00806628
0.234;0.766;0.98618661;0.001400578;0.78225834;0.004351809;0.7076804;0.006141742;0.70611597;0.008130377
0.235;0.765;0.98618661;0.001400578;0.78027659;0.004387994;0.70592831;0.006191643;0.7044069;0.008194948
0.236;0.764;0.98618661;0.001400578;0.77828818;0.004424491;0.70417106;0.006241943;0.70269335;0.008259999
0.237;0.763;0.98618661;0.001400578;0.77629312;0.004461305;0.70240866;0.006292645;0.70097533;0.008325534
0.238;0.762;0.98618661;0.001400578;0.77429144;0.004498439;0.70064111;0.006343754;0.69925285;0.008391556
0.239;0.761;0.98618661;0.001400578;0.77228313;0.004535896;0.69886843;0.006395273;0.69752592;0.00845807
0.24;0.76;0.98618661;0.001400578;0.77026822;0.00457368;0.69709063;0.006447207;0.69579455;0.008525082
0.241;0.759;0.98618661;0.001400578;0.76824672;0.004611794;0.69530772;0.006499559;0.69405875;0.008592594
0.242;0.758;0.98618661;0.001400578;0.76621865;0.004650241;0.69351972;0.006552334;0.69231855;0.008660613
0.243;0.757;0.98618661;0.001400578;0.76418403;0.004689026;0.69172664;0.006605536;0.69057394;0.008729141
