XSn;aSn;XCu;aCu;Sn_ideal;Cu_ideal;;;T = 450øC
0.293;0.82293689;0.707;0.19837568;0.293;0.707;;;
0.294;0.82293689;0.706;0.19837568;0.294;0.706;;;
0.295;0.82293689;0.705;0.19837568;0.295;0.705;;;
0.296;0.82293689;0.704;0.19837568;0.296;0.704;;;
0.297;0.82293689;0.703;0.19837568;0.297;0.703;;;
0.298;0.82293689;0.702;0.19837568;0.298;0.702;;;
0.299;0.82293689;0.701;0.19837568;0.299;0.701;;;
0.3;0.82293689;0.7;0.19837568;0.3;0.7;;;
0.301;0.82293689;0.699;0.19837568;0.301;0.699;;;
0.302;0.82293689;0.698;0.19837568;0.302;0.698;;;
0.303;0.82293689;0.697;0.19837568;0.303;0.697;;;
0.304;0.82293689;0.696;0.19837568;0.304;0.696;;;
0.305;0.82293689;0.695;0.19837568;0.305;0.695;;;
0.306;0.82293689;0.694;0.19837568;0.306;0.694;;;
0.307;0.82293689;0.693;0.19837568;0.307;0.693;;;
0.308;0.82293689;0.692;0.19837568;0.308;0.692;;;
0.309;0.82293689;0.691;0.19837568;0.309;0.691;;;
0.31;0.82293689;0.69;0.19837568;0.31;0.69;;;
0.311;0.82293689;0.689;0.19837568;0.311;0.689;;;
0.312;0.82293689;0.688;0.19837568;0.312;0.688;;;
0.313;0.82293689;0.687;0.19837568;0.313;0.687;;;
0.314;0.82293689;0.686;0.19837568;0.314;0.686;;;
0.315;0.82293689;0.685;0.19837568;0.315;0.685;;;
0.316;0.82293689;0.684;0.19837568;0.316;0.684;;;
0.317;0.82293689;0.683;0.19837568;0.317;0.683;;;
0.318;0.82293689;0.682;0.19837568;0.318;0.682;;;
0.319;0.82293689;0.681;0.19837568;0.319;0.681;;;
0.32;0.82293689;0.68;0.19837568;0.32;0.68;;;
0.321;0.82293689;0.679;0.19837568;0.321;0.679;;;
0.322;0.82293689;0.678;0.19837568;0.322;0.678;;;
0.323;0.82293689;0.677;0.19837568;0.323;0.677;;;
0.324;0.82293689;0.676;0.19837568;0.324;0.676;;;
0.325;0.82293689;0.675;0.19837568;0.325;0.675;;;
0.326;0.82293689;0.674;0.19837568;0.326;0.674;;;
0.327;0.82293689;0.673;0.19837568;0.327;0.673;;;
0.328;0.82293689;0.672;0.19837568;0.328;0.672;;;
0.329;0.82293689;0.671;0.19837568;0.329;0.671;;;
0.33;0.82293689;0.67;0.19837568;0.33;0.67;;;
0.331;0.82293689;0.669;0.19837568;0.331;0.669;;;
0.332;0.82293689;0.668;0.19837568;0.332;0.668;;;
0.333;0.82293689;0.667;0.19837568;0.333;0.667;;;
0.334;0.82293689;0.666;0.19837568;0.334;0.666;;;
0.335;0.82293689;0.665;0.19837568;0.335;0.665;;;
0.336;0.82293689;0.664;0.19837568;0.336;0.664;;;
0.337;0.82293689;0.663;0.19837568;0.337;0.663;;;
0.338;0.82293689;0.662;0.19837568;0.338;0.662;;;
0.339;0.82293689;0.661;0.19837568;0.339;0.661;;;
0.34;0.82293689;0.66;0.19837568;0.34;0.66;;;
0.341;0.82293689;0.659;0.19837568;0.341;0.659;;;
0.342;0.82293689;0.658;0.19837568;0.342;0.658;;;
0.343;0.82293689;0.657;0.19837568;0.343;0.657;;;
0.344;0.82293689;0.656;0.19837568;0.344;0.656;;;
0.345;0.82293689;0.655;0.19837568;0.345;0.655;;;
0.346;0.82293689;0.654;0.19837568;0.346;0.654;;;
0.347;0.82293689;0.653;0.19837568;0.347;0.653;;;
0.348;0.82293689;0.652;0.19837568;0.348;0.652;;;
0.349;0.82293689;0.651;0.19837568;0.349;0.651;;;
0.35;0.82293689;0.65;0.19837568;0.35;0.65;;;
0.351;0.82293689;0.649;0.19837568;0.351;0.649;;;
0.352;0.82293689;0.648;0.19837568;0.352;0.648;;;
0.353;0.82293689;0.647;0.19837568;0.353;0.647;;;
0.354;0.82293689;0.646;0.19837568;0.354;0.646;;;
0.355;0.82293689;0.645;0.19837568;0.355;0.645;;;
0.356;0.82293689;0.644;0.19837568;0.356;0.644;;;
0.357;0.82293689;0.643;0.19837568;0.357;0.643;;;
0.358;0.82293689;0.642;0.19837568;0.358;0.642;;;
0.359;0.82293689;0.641;0.19837568;0.359;0.641;;;
0.36;0.82293689;0.64;0.19837568;0.36;0.64;;;
0.361;0.82293689;0.639;0.19837568;0.361;0.639;;;
0.362;0.82293689;0.638;0.19837568;0.362;0.638;;;
0.363;0.82293689;0.637;0.19837568;0.363;0.637;;;
0.364;0.82293689;0.636;0.19837568;0.364;0.636;;;
0.365;0.82293689;0.635;0.19837568;0.365;0.635;;;
0.366;0.82293689;0.634;0.19837568;0.366;0.634;;;
0.367;0.82293689;0.633;0.19837568;0.367;0.633;;;
0.368;0.82293689;0.632;0.19837568;0.368;0.632;;;
0.369;0.82293689;0.631;0.19837568;0.369;0.631;;;
0.37;0.82293689;0.63;0.19837568;0.37;0.63;;;
0.371;0.82293689;0.629;0.19837568;0.371;0.629;;;
0.372;0.82293689;0.628;0.19837568;0.372;0.628;;;
0.373;0.82293689;0.627;0.19837568;0.373;0.627;;;
0.374;0.82293689;0.626;0.19837568;0.374;0.626;;;
0.375;0.82293689;0.625;0.19837568;0.375;0.625;;;
0.376;0.82293689;0.624;0.19837568;0.376;0.624;;;
0.377;0.82293689;0.623;0.19837568;0.377;0.623;;;
0.378;0.82293689;0.622;0.19837568;0.378;0.622;;;
0.379;0.82293689;0.621;0.19837568;0.379;0.621;;;
0.38;0.82293689;0.62;0.19837568;0.38;0.62;;;
0.381;0.82293689;0.619;0.19837568;0.381;0.619;;;
0.382;0.82293689;0.618;0.19837568;0.382;0.618;;;
0.383;0.82293689;0.617;0.19837568;0.383;0.617;;;
0.384;0.82293689;0.616;0.19837568;0.384;0.616;;;
0.385;0.82293689;0.615;0.19837568;0.385;0.615;;;
0.386;0.82293689;0.614;0.19837568;0.386;0.614;;;
0.387;0.82293689;0.613;0.19837568;0.387;0.613;;;
0.388;0.82293689;0.612;0.19837568;0.388;0.612;;;
0.389;0.82293689;0.611;0.19837568;0.389;0.611;;;
0.39;0.82293689;0.61;0.19837568;0.39;0.61;;;
0.391;0.82293689;0.609;0.19837568;0.391;0.609;;;
0.392;0.82293689;0.608;0.19837568;0.392;0.608;;;
0.393;0.82293689;0.607;0.19837568;0.393;0.607;;;
0.394;0.82293689;0.606;0.19837568;0.394;0.606;;;
0.395;0.82293689;0.605;0.19837568;0.395;0.605;;;
0.396;0.82293689;0.604;0.19837568;0.396;0.604;;;
0.397;0.82293689;0.603;0.19837568;0.397;0.603;;;
0.398;0.82293689;0.602;0.19837568;0.398;0.602;;;
0.399;0.82293689;0.601;0.19837568;0.399;0.601;;;
0.4;0.82293689;0.6;0.19837568;0.4;0.6;;;
0.401;0.82293689;0.599;0.19837568;0.401;0.599;;;
0.402;0.82293689;0.598;0.19837568;0.402;0.598;;;
0.403;0.82293689;0.597;0.19837568;0.403;0.597;;;
0.404;0.82293689;0.596;0.19837568;0.404;0.596;;;
0.405;0.82293689;0.595;0.19837568;0.405;0.595;;;
0.406;0.82293689;0.594;0.19837568;0.406;0.594;;;
0.407;0.82293689;0.593;0.19837568;0.407;0.593;;;
0.408;0.82293689;0.592;0.19837568;0.408;0.592;;;
0.409;0.82293689;0.591;0.19837568;0.409;0.591;;;
0.41;0.82293689;0.59;0.19837568;0.41;0.59;;;
0.411;0.82293689;0.589;0.19837568;0.411;0.589;;;
0.412;0.82293689;0.588;0.19837568;0.412;0.588;;;
0.413;0.82293689;0.587;0.19837568;0.413;0.587;;;
0.414;0.82293689;0.586;0.19837568;0.414;0.586;;;
0.415;0.82293689;0.585;0.19837568;0.415;0.585;;;
0.416;0.82293689;0.584;0.19837568;0.416;0.584;;;
0.417;0.82293689;0.583;0.19837568;0.417;0.583;;;
0.418;0.82293689;0.582;0.19837568;0.418;0.582;;;
