XFe;aFe;Xal;aAl
0.493;0.053;0.507;0.12168189
0.494;0.053;0.506;0.12168189
0.495;0.053;0.505;0.12168189
0.496;0.053;0.504;0.12168189
0.497;0.053;0.503;0.12168189
0.498;0.053;0.502;0.12168189
0.499;0.053;0.501;0.12168189
0.5;0.053;0.5;0.12168189
0.501;0.053;0.499;0.12168189
0.502;0.053;0.498;0.12168189
0.503;0.053;0.497;0.12168189
0.504;0.053;0.496;0.12168189
0.505;0.053;0.495;0.12168189
0.506;0.053;0.494;0.12168189
0.507;0.053;0.493;0.12168189
0.508;0.053;0.492;0.12168189
0.509;0.053;0.491;0.12168189
0.51;0.053;0.49;0.12168189
0.511;0.053;0.489;0.12168189
0.512;0.053;0.488;0.12168189
0.513;0.053;0.487;0.12168189
0.514;0.053;0.486;0.12168189
0.515;0.053;0.485;0.12168189
0.516;0.053;0.484;0.12168189
0.517;0.053;0.483;0.12168189
0.518;0.053;0.482;0.12168189
0.519;0.053;0.481;0.121484092
0.52;0.05388832;0.48;0.1190888
0.521;0.054853288;0.479;0.116739852
0.522;0.055820927;0.478;0.114437248
0.523;0.056791238;0.477;0.112180988
0.524;0.057764221;0.476;0.109971072
0.525;0.058739875;0.475;0.1078075
0.526;0.059718201;0.474;0.105690272
0.527;0.060699198;0.473;0.103619388
0.528;0.061682867;0.472;0.101594848
0.529;0.062669208;0.471;0.099616652
0.53;0.06365822;0.47;0.0976848
0.531;0.064649904;0.469;0.095799292
0.532;0.065644259;0.468;0.093960128
0.533;0.066641286;0.467;0.092167308
0.534;0.067640985;0.466;0.090420832
0.535;0.068643355;0.465;0.0887207
0.536;0.069648397;0.464;0.087066912
0.537;0.07065611;0.463;0.085459468
0.538;0.071666495;0.462;0.083898368
0.539;0.072679552;0.461;0.082383612
0.54;0.07369528;0.46;0.0809152
0.541;0.07471368;0.459;0.079493132
0.542;0.075734751;0.458;0.078117408
0.543;0.076758494;0.457;0.076788028
0.544;0.077784909;0.456;0.075504992
0.545;0.078813995;0.455;0.0742683
0.546;0.079845753;0.454;0.073077952
0.547;0.080880182;0.453;0.071933948
0.548;0.081917283;0.452;0.070836288
0.549;0.082957056;0.451;0.069784972
0.55;0.0839995;0.45;0.06878
0.551;0.085044616;0.449;0.067821372
0.552;0.086092403;0.448;0.066909088
0.553;0.087142862;0.447;0.066043148
0.554;0.088195993;0.446;0.065223552
0.555;0.089251795;0.445;0.065722475
0.556;0.090310269;0.444;0.064958821
0.557;0.091371414;0.443;0.064202545
0.558;0.092435231;0.442;0.062711911
0.559;0.09350172;0.441;0.059816837
0.56;0.09457088;0.44;0.059110719
0.561;0.095642712;0.439;0.058411557
0.562;0.096717215;0.438;0.0577193
0.563;0.09779439;0.437;0.057033896
0.564;0.098874237;0.436;0.056736312
0.565;0.099956755;0.435;0.056355293
0.566;0.101041945;0.434;0.054707872
0.567;0.102129806;0.433;0.053062511
0.568;0.103220339;0.432;0.052423647
0.569;0.104313544;0.431;0.051791229
0.57;0.10540942;0.43;0.051165209
0.571;0.106507968;0.429;0.050545536
0.572;0.107609187;0.428;0.050325762
0.573;0.108713078;0.427;0.049932161
0.574;0.109819641;0.426;0.048810622
0.575;0.110928875;0.425;0.048724108
0.576;0.112040781;0.424;0.048129332
0.577;0.113155358;0.423;0.048072426
0.578;0.114272607;0.422;0.04734685
0.579;0.115392528;0.421;0.046958039
0.58;0.11651512;0.42;0.046381425
0.581;0.117640384;0.419;0.045810769
0.582;0.118768319;0.418;0.04413407
0.583;0.119898926;0.417;0.043586769
0.584;0.121032205;0.416;0.04304519
0.585;0.122168155;0.415;0.042603204
0.586;0.123306777;0.414;0.041979008
0.587;0.12444807;0.413;0.041970963
0.588;0.125592035;0.412;0.041349475
0.589;0.126738672;0.411;0.040935153
0.59;0.12788798;0.41;0.040421483
0.591;0.12903996;0.409;0.039913259
0.592;0.130194611;0.408;0.039410433
0.593;0.131472446;0.407;0.038912961
0.594;0.13265942;0.406;0.038420799
0.595;0.133854473;0.405;0.037933901
0.596;0.135057606;0.404;0.037452223
0.597;0.13626882;0.403;0.036975721
0.598;0.137488114;0.402;0.036742138
0.599;0.138715488;0.401;0.036504352
0.6;0.139950943;0.4;0.03603807
0.601;0.141194477;0.399;0.035576834
0.602;0.142446092;0.398;0.035169682
0.603;0.143705787;0.397;0.035120599
0.604;0.144973562;0.396;0.034669322
0.605;0.146249417;0.395;0.033781474
0.606;0.147533353;0.394;0.033344818
0.607;0.148825369;0.393;0.033193145
0.608;0.150125465;0.392;0.03291295
0.609;0.151433641;0.391;0.032719415
0.61;0.152749897;0.39;0.032485829
0.611;0.154074234;0.389;0.032063413
0.612;0.15540665;0.388;0.031645661
0.613;0.15707872;0.387;0.031232532
0.614;0.15836448;0.386;0.030901687
0.615;0.15985882;0.385;0.030823985
0.616;0.16115982;0.384;0.030419979
0.617;0.16246845;0.383;0.030037179
0.618;0.16378475;0.382;0.030020473
0.619;0.16510872;0.381;0.029625428
0.62;0.16644038;0.38;0.029234804
0.621;0.16777976;0.379;0.02884856
0.622;0.16912686;0.378;0.028466658
